id,date,time_start,time_finish,species,prey,location,pred_size,prey_captured,prey_size,sim_enc,sand,ripple,water,slope,temp,temp_time,low_tide,tide_ht,A+,A,A?,P,PC,S,B,PIT,TF,FOT,OTE,Events
69,10-03-85,15:33,15:44,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
70,10-03-85,15:07,15:28,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
71,10-03-85,15:20,15:40,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
71+,10-03-85,15:27,15:33,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
72,10-03-85,15:14,15:21,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
73,10-03-85,15:40,15:44,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
74,10-03-85,15:13,15:30,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
75,10-03-85,15:22,15:32,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
76,10-03-85,15:13,15:16,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
78,12-03-85,15:56,16:07,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
79,12-03-85,15:51,16:04,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
80,12-03-85,15:51,16:03,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
81,12-03-85,15:24,15:32,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
82,12-03-85,15:06,15:32,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
83,12-03-85,14:51,14:59,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
84,12-03-85,15:07,15:18,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
85,12-03-85,15:27,15:32,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
86,12-03-85,14:39,14:45,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
87,12-03-85,14:51,14:55,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
88,13-03-85,09:30,09:26,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
89,14-03-85,08:13,08:30,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
